sacc	naccs	length	slen	cov	av-pident	stitle	qseqids
RVW26157.1	3	261	1259	0.207	72.018	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000073_3,PB64-S175_21-22_K9-21_000244_15,PB64-S175_21-22_K9-21_000054_3
ARQ83911.1	1	86	463	0.186	96.5	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1
ARQ83957.1	4	448	463	0.968	98.473	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
KYP50611.1	1	67	448	0.15	50.7	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000186_2
RVW36328.1	9	685	1471	0.466	56.167	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000020_2,PB64-S175_21-22_K9-21_000020_1,PB64-S175_21-22_K9-21_000003_4,PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000101_1,PB64-S175_21-22_K9-21_000003_2,PB64-S175_21-22_K9-21_000102_2,PB64-S175_21-22_K9-21_000185_1,PB64-S175_21-22_K9-21_000237_1
RVX20094.1	1	36	674	0.053	83.3	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
PKA49510.1	2	90	365	0.247	43.426	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Apostasia__shenzhenica]	PB64-S175_21-22_K9-21_000252_4,PB64-S175_21-22_K9-21_000186_2
RVW75329.1	1	66	479	0.138	78.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000218_1
KYP47563.1	1	67	269	0.249	52.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000186_2
RVW49144.1	1	128	852	0.15	39.7	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000060_2
RVW98618.1	1	62	1086	0.057	53.2	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000101_1
CBJ94536.1	2	341	414	0.824	99.418	genome__polyprotein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_2
KYP59893.1	2	80	593	0.135	47.524	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000252_4,PB64-S175_21-22_K9-21_000186_2
BBH51576.1	2	192	463	0.415	85.418	movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000008_1
RVW82645.1	1	36	491	0.073	80.6	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
APG53775.1	2	221	2342	0.094	95.026	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1
ARQ83972.1	1	324	2342	0.138	73.2	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1
ARQ83995.1	4	448	463	0.968	98.486	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
PWA61797.1	1	104	593	0.175	49.5	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000027_2
ARQ83946.1	1	138	2342	0.059	92.8	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000026_1
RVW26847.1	1	66	555	0.119	90.9	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000054_3
ATJ04998.1	1	203	360	0.564	99.5	polyprotein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_2
PWA90654.1	1	154	452	0.341	39.6	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000007_1
RVW51536.1	1	95	788	0.121	56.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000094_2
ARQ83897.1	1	106	463	0.229	85.8	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
KYP34568.1	1	118	373	0.316	41.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000060_2
ARQ83874.1	9	1839	2343	0.785	97.54	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_2
PNY13477.1	3	269	1100	0.245	53.549	retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Trifolium__pratense]	PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000101_1,PB64-S175_21-22_K9-21_000094_2
RVX23921.1	3	264	728	0.363	55.9	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000003_4,PB64-S175_21-22_K9-21_000101_1,PB64-S175_21-22_K9-21_000003_2
RVX14147.1	1	63	1126	0.056	58.7	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000186_2
RWR85696.1	2	173	1191	0.145	65.143	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cinnamomum__micranthum__f.__kanehirae]	PB64-S175_21-22_K9-21_000003_2,PB64-S175_21-22_K9-21_000185_1
PWA83706.1	2	115	369	0.312	42.116	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
BBG22683.1	5	1285	2342	0.549	98.31	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1
RVW21110.1	1	110	1328	0.083	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
ARQ83912.1	3	658	2342	0.281	80.884	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
ARQ83935.1	1	106	463	0.229	79.2	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
RVX01002.1	2	237	1115	0.213	50.394	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000003_4,PB64-S175_21-22_K9-21_000237_1
PWA37791.1	1	124	246	0.504	41.9	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
RVW63236.1	1	107	708	0.151	51.4	Retrovirus-related__Pol__polyprotein__from__transposon__297__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000073_3
ARQ83958.1	3	861	2342	0.368	86.863	polyprotein__[Cherry__virus__A]__>ARQ83968.1__polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3
RVW24908.1	1	110	1349	0.082	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
ARQ83886.1	1	324	2342	0.138	72.9	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1
PWA65533.1	1	261	1286	0.203	29.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000007_1
RVW88735.1	2	202	439	0.46	68.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000218_1
RVW13569.1	4	316	1138	0.278	79.075	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000267_2,PB64-S175_21-22_K9-21_000131_1
ARQ83868.1	9	1842	2345	0.786	98.219	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_2
BBH51575.1	1	203	2342	0.087	99	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_2
ARQ83905.1	4	448	463	0.968	98.255	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
ARQ83928.1	1	138	2342	0.059	92	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000026_1
ARQ83992.1	1	324	2342	0.138	73.2	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1
RVW21164.1	1	207	805	0.257	46.4	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000003_4
RZB80703.1	1	120	1254	0.096	32.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Glycine__soja]	PB64-S175_21-22_K9-21_000021_2
RVW51051.1	6	543	1095	0.496	79.004	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000062_1,PB64-S175_21-22_K9-21_000064_2,PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000267_2,PB64-S175_21-22_K9-21_000131_1
ARQ84000.1	8	1703	2344	0.727	97.971	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
KYP76234.1	1	114	345	0.33	51.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000003_2
RVW59049.1	6	367	1082	0.339	79.156	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000064_2,PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000267_2,PB64-S175_21-22_K9-21_000218_1,PB64-S175_21-22_K9-21_000131_1
ANE06570.1	9	1839	2342	0.785	98.597	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_2
ATJ00140.1	1	86	235	0.366	96.5	movement__protein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1
KYP39598.1	2	116	350	0.331	42.453	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
P10978.1	1	161	1328	0.121	38.7	RecName:__Full=Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94;__Includes:__RecName:__Full=Protease;__Includes:__RecName:__Full=Reverse__transcriptase;__Includes:__RecName:__Full=Endonuclease__>CAA32025.1__unnamed__protein__product__[Nicotiana__tabacum]	PB64-S175_21-22_K9-21_000007_1
RVW81650.1	1	146	1102	0.132	39.5	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000252_4
RVX00790.1	3	185	1110	0.167	51.138	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000252_4,PB64-S175_21-22_K9-21_000186_2,PB64-S175_21-22_K9-21_000093_2
RVW41129.1	1	201	600	0.335	46	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000003_4
ARQ83894.1	1	331	2342	0.141	71.6	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000004_1
RVW44493.1	1	87	719	0.121	78.2	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000244_15
RVW39207.1	2	162	863	0.188	80.854	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000218_1
KRX69431.1	1	27	1600	0.017	92.6	Retrovirus-related__Pol__polyprotein__from__type-1__retrotransposable__element__[Trichinella__sp.__T6]	PB64-S175_21-22_K9-21_000005_2
RVW69261.1	1	76	551	0.138	82.9	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000158_1
RVX12903.1	1	97	632	0.153	58.8	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000266_2
KYP50069.1	3	310	619	0.501	49.53	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000101_1,PB64-S175_21-22_K9-21_000102_2,PB64-S175_21-22_K9-21_000094_2
RVX12656.1	4	414	901	0.459	54.48	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000020_2,PB64-S175_21-22_K9-21_000003_4,PB64-S175_21-22_K9-21_000101_1,PB64-S175_21-22_K9-21_000003_2
ARQ83981.1	4	448	463	0.968	98.486	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
RVX03278.1	1	66	191	0.346	60.6	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000185_1
CCC55892.1	1	83	161	0.516	96.4	polyprotein,__replication__protein__region,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1
PWA84481.1	1	124	220	0.564	41.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
ARQ83932.1	7	1499	2344	0.64	98.097	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1
ARQ83883.1	1	86	464	0.185	96.5	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1
RVW13584.1	1	88	977	0.09	59.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000094_2
PWA96013.1	2	115	311	0.37	42.116	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
RVW26456.1	1	113	607	0.186	77	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000064_2
RVW44710.1	1	96	1298	0.074	60.4	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
RVW65225.1	1	119	918	0.13	79.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000062_1
RVW94544.1	4	350	1341	0.261	79.024	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000070_2,PB64-S175_21-22_K9-21_000096_1,PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000267_2
ADZ96386.1	4	448	463	0.968	98.255	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
ARQ83944.1	1	131	2342	0.056	73.3	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000040_1
ARQ83967.1	1	106	463	0.229	78.3	putative__movement__protein__[Cherry__virus__A]__>ARQ83979.1__putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
ARQ83872.1	4	999	2342	0.427	87.508	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3
AXU41443.1	1	83	2342	0.035	96.4	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1
ALS46642.1	1	124	463	0.268	99.2	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000053_1
KYP46254.1	2	84	609	0.138	48.134	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000252_4,PB64-S175_21-22_K9-21_000186_2
ARQ83858.1	1	138	2342	0.059	92	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000026_1
CBL43397.1	7	1498	2342	0.64	98.284	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1
RVW25647.1	1	150	795	0.189	39.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000252_4
RVW76008.1	1	161	951	0.169	35.4	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000012_4
ARQ83982.1	3	424	2342	0.181	96.929	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000008_2
PWA51178.1	1	124	343	0.362	41.9	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
PWA84043.1	2	233	425	0.548	35.154	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000021_2,PB64-S175_21-22_K9-21_000027_2
KHN13665.1	1	135	337	0.401	32.4	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Glycine__soja]	PB64-S175_21-22_K9-21_000021_2
RVW67243.1	1	36	197	0.183	80.6	Retrovirus-related__Pol__polyprotein__from__transposon__RE2__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
ARQ83910.1	2	334	2342	0.143	88.92	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
ADZ96385.1	3	327	968	0.338	98.787	RNA__replicase,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000030_1
ARQ83956.1	8	1701	2342	0.726	98.549	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
RVW88003.1	3	221	785	0.282	76.86	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000149_1,PB64-S175_21-22_K9-21_000267_2,PB64-S175_21-22_K9-21_000131_1
ATJ05047.1	2	207	235	0.881	99.058	movement__protein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1
RVW20357.1	1	36	187	0.193	80.6	Retrovirus-related__Pol__polyprotein__from__transposon__RE2__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
RVW43146.1	1	69	944	0.073	52.2	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000185_1
KYP43092.1	1	113	423	0.267	78.8	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000064_2
PKA55182.1	1	96	286	0.336	67.7	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Apostasia__shenzhenica]	PB64-S175_21-22_K9-21_000093_2
KYP40338.1	1	108	864	0.125	59.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000093_2
